Time Window,SYN Rate,SYN Percentage,Port Spread,ACK Response Rate,Source Diversity
very-short,very low,minimal,a few,no response,centralized
very-short,very low,minimal,a few,no response,moderately distributed
very-short,very low,minimal,a few,minimal response,centralized
very-short,very low,minimal,a few,minimal response,moderately distributed
very-short,very low,minimal,a few,partial response,centralized
very-short,very low,minimal,a few,partial response,moderately distributed
very-short,very low,minimal,a few,widespread response,centralized
very-short,very low,minimal,a few,widespread response,moderately distributed
very-short,very low,minimal,a few,broad response,centralized
very-short,very low,minimal,a few,broad response,moderately distributed
very-short,very low,minimal,a few,complete response,centralized
very-short,very low,minimal,a few,complete response,moderately distributed
very-short,very low,minimal,several,no response,centralized
very-short,very low,minimal,several,no response,moderately distributed
very-short,very low,minimal,several,minimal response,centralized
very-short,very low,minimal,several,minimal response,moderately distributed
very-short,very low,minimal,several,partial response,centralized
very-short,very low,minimal,several,partial response,moderately distributed
very-short,very low,minimal,several,widespread response,centralized
very-short,very low,minimal,several,widespread response,moderately distributed
very-short,very low,minimal,several,broad response,centralized
very-short,very low,minimal,several,broad response,moderately distributed
very-short,very low,minimal,several,complete response,centralized
very-short,very low,minimal,several,complete response,moderately distributed
very-short,very low,low,a few,no response,centralized
very-short,very low,low,a few,no response,moderately distributed
very-short,very low,low,a few,minimal response,centralized
very-short,very low,low,a few,minimal response,moderately distributed
very-short,very low,low,a few,partial response,centralized
very-short,very low,low,a few,partial response,moderately distributed
very-short,very low,low,a few,widespread response,centralized
very-short,very low,low,a few,widespread response,moderately distributed
very-short,very low,low,a few,broad response,centralized
very-short,very low,low,a few,broad response,moderately distributed
very-short,very low,low,a few,complete response,centralized
very-short,very low,low,a few,complete response,moderately distributed
very-short,very low,low,several,no response,centralized
very-short,very low,low,several,no response,moderately distributed
very-short,very low,low,several,minimal response,centralized
very-short,very low,low,several,minimal response,moderately distributed
very-short,very low,low,several,partial response,centralized
very-short,very low,low,several,partial response,moderately distributed
very-short,very low,low,several,widespread response,centralized
very-short,very low,low,several,widespread response,moderately distributed
very-short,very low,low,several,broad response,centralized
very-short,very low,low,several,broad response,moderately distributed
very-short,very low,low,several,complete response,centralized
very-short,very low,low,several,complete response,moderately distributed
very-short,very low,moderate,a few,no response,centralized
very-short,very low,moderate,a few,no response,moderately distributed
very-short,very low,moderate,a few,minimal response,centralized
very-short,very low,moderate,a few,minimal response,moderately distributed
very-short,very low,moderate,a few,partial response,centralized
very-short,very low,moderate,a few,partial response,moderately distributed
very-short,very low,moderate,a few,widespread response,centralized
very-short,very low,moderate,a few,widespread response,moderately distributed
very-short,very low,moderate,a few,broad response,centralized
very-short,very low,moderate,a few,broad response,moderately distributed
very-short,very low,moderate,a few,complete response,centralized
very-short,very low,moderate,a few,complete response,moderately distributed
very-short,very low,moderate,several,no response,centralized
very-short,very low,moderate,several,no response,moderately distributed
very-short,very low,moderate,several,minimal response,centralized
very-short,very low,moderate,several,minimal response,moderately distributed
very-short,very low,moderate,several,partial response,centralized
very-short,very low,moderate,several,partial response,moderately distributed
very-short,very low,moderate,several,widespread response,centralized
very-short,very low,moderate,several,widespread response,moderately distributed
very-short,very low,moderate,several,broad response,centralized
very-short,very low,moderate,several,broad response,moderately distributed
very-short,very low,moderate,several,complete response,centralized
very-short,very low,moderate,several,complete response,moderately distributed
very-short,low,minimal,a few,no response,centralized
very-short,low,minimal,a few,no response,moderately distributed
very-short,low,minimal,a few,no response,highly distributed
very-short,low,minimal,a few,minimal response,centralized
very-short,low,minimal,a few,minimal response,moderately distributed
very-short,low,minimal,a few,minimal response,highly distributed
very-short,low,minimal,a few,partial response,centralized
very-short,low,minimal,a few,partial response,moderately distributed
very-short,low,minimal,a few,partial response,highly distributed
very-short,low,minimal,a few,widespread response,centralized
very-short,low,minimal,a few,widespread response,moderately distributed
